(0.125, 0.5, 0.375, 0.125, 0.125, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185)
(0.125, 0.5, 0.375, 0.125, 0.125, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185)
(0.125, 0.5, 0.375, 0.125, 0.125, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185)
(0.125, 0.5, 0.375, 0.125, 0.125, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185)
(0.125, 0.5, 0.375, 0.125, 0.125, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185)
(0.125, 0.5, 0.375, 0.125, 0.125, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185)
(0.125, 0.5, 0.375, 0.125, 0.125, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185)
(0.125, 0.5, 0.375, 0.125, 0.125, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185)
(0.125, 0.5, 0.375, 0.125, 0.125, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185)
(0.125, 0.5, 0.375, 0.125, 0.125, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185)
(0.125, 0.5, 0.375, 0.125, 0.125, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185)
(0.125, 0.5, 0.375, 0.125, 0.125, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185)
(0.125, 0.5, 0.375, 0.125, 0.125, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185)
(0.125, 0.5, 0.375, 0.125, 0.125, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185, 0.33000001311302185)
(0.125, 0.5, 0.375, 0.125, 0.125, 0.33, 0.33, 0.33, 0.33)
(0, 3, 2, 0, 0, 0, 0, 0, 0)
(0, 3, 2, 0, 0, 0, 0, 0, 0)
(0.125, 0.5, 0.375, 0.125, 0.125, 0.33, 0.33, 0.33, 0.33)
(0.125, 0.5, 0.375, 0.125, 0.125, 0.33, 0.33, 0.33, 0.33)
(0.125, 0.5, 0.375, 0.125, 0.125, 0.33, 0.33, 0.33, 0.33)
(0.375, 0.375, 0.25, 0.5, 0.5, 0.33, 0.33, 0.33, 0.33)
(0.5, 0.25, 0.5, 0.5, 0.25, 0.33, 0.33, 0.33, 0.33)
(0.375, 0.25, 0.25, 0.5, 0.25, 0.33, 0.33, 0.33, 0.33)
(0.5, 0.5, 0.5, 0.5, 0.5, 0.33, 0.33, 0.33, 0.33)
(0.25, 0.5, 0.375, 0.125, 0.5, 0.33, 0.33, 0.33, 0.33)
(0.25, 0.25, 0.375, 0.5, 0.25, 0.33, 0.33, 0.33, 0.33)
(0.375, 0.125, 0.5, 0.375, 0.25, 0.33, 0.33, 0.33, 0.33)
(0.125, 0.125, 0.5, 0.25, 0.125, 0.33, 0.33, 0.33, 0.33)
(0.125, 0.5, 0.375, 0.125, 0.125, 0.33, 0.33, 0.33, 0.33)
(0.375, 0.375, 0.25, 0.5, 0.5, 0.33, 0.33, 0.33, 0.33)
(0.5, 0.25, 0.5, 0.5, 0.25, 0.33, 0.33, 0.33, 0.33)
(0.375, 0.25, 0.25, 0.5, 0.25, 0.33, 0.33, 0.33, 0.33)
(0.5, 0.5, 0.5, 0.5, 0.5, 0.33, 0.33, 0.33, 0.33)
(0.125, 0.5, 0.375, 0.125, 0.125, 0.33, 0.33, 0.33, 0.33)
(0.125, 0.5, 0.375, 0.125, 0.125, 0.33, 0.33, 0.33, 0.33)
